Respondents,European,Canadian,Japanese,6.19,5.49,4.79,Rich full bodied,Regular,Crisp and clear,Strong,Mild,Very mild,Full,Regular,Low,Six 12Oz Large,Six 12Oz Small,Four 16Oz,Green Label,Brown Label,Brown Painted
6861,0,8,12,0,16,23,8,0,10,10,6,0,0,21,13,4,0,11,9,0,13
4129,1,4,0,8,0,51,8,0,4,6,0,2,2,6,0,0,12,10,13,5,0
4393,19,0,15,16,0,3,31,0,20,0,7,13,6,0,8,0,4,8,1,5,0
445,0,17,19,0,19,21,0,12,1,0,5,11,0,14,17,0,0,12,0,1,9
7393,20,0,4,9,3,0,0,0,11,0,13,6,9,0,23,17,0,8,0,6,3
964,17,3,0,6,14,0,0,3,24,11,0,6,6,8,0,0,6,14,0,12,7
6773,1,5,0,0,3,4,9,0,24,0,9,2,0,11,35,15,0,15,0,1,8
461,18,1,0,2,3,0,7,0,13,0,12,2,26,7,0,19,0,1,0,1,9
7156,0,3,14,0,11,26,12,0,13,1,14,0,2,11,0,8,0,10,12,0,10
5785,17,5,0,9,3,0,17,0,13,0,14,6,1,0,25,13,0,11,0,5,5
4946,21,0,17,0,4,4,4,2,0,0,15,8,31,10,0,15,8,0,4,9,0
428,6,0,8,1,0,10,0,3,1,0,21,20,26,3,0,18,1,0,15,2,0
4465,8,0,15,5,0,2,10,30,0,2,3,0,9,3,0,0,17,33,0,4,1
2478,17,0,0,10,2,0,34,0,8,0,12,6,0,0,12,9,0,4,0,6,4
6321,15,6,0,0,3,1,19,0,16,0,10,8,0,6,24,18,1,0,0,11,8
4263,13,5,0,12,13,0,0,1,4,0,13,13,2,0,30,22,0,16,0,5,5
4305,0,11,19,0,24,17,0,0,5,10,5,0,6,7,0,9,0,15,0,3,19
5074,0,0,12,0,14,0,3,0,5,6,3,0,0,27,25,5,0,6,0,21,29
3004,14,0,26,18,5,0,10,3,0,0,4,12,0,7,17,12,0,3,5,4,0
702,13,0,16,13,16,0,2,0,5,8,17,0,4,3,0,32,0,8,0,4,10
6778,17,0,24,5,0,10,12,0,11,0,8,8,4,0,21,20,0,14,4,1,0
5542,20,0,16,0,9,5,12,0,3,0,19,3,30,2,0,9,0,7,2,0,1
7247,20,12,0,15,10,0,3,0,5,0,33,8,4,10,0,11,3,0,4,0,6
6024,24,0,8,12,10,0,0,10,6,16,13,0,8,0,10,19,0,18,0,5,8
6172,14,0,10,2,8,0,0,3,17,0,6,1,1,0,24,16,0,13,0,12,14
2590,0,13,11,0,9,19,2,0,11,7,17,0,0,12,7,14,0,17,9,0,11
6293,17,0,20,11,11,0,15,0,10,0,19,18,0,13,5,9,0,8,7,0,14
4485,12,18,0,0,10,16,14,0,3,0,19,31,3,6,0,1,0,4,6,0,11
5520,24,1,0,5,2,0,32,0,19,0,16,11,12,0,3,2,0,2,0,2,9
5837,20,0,19,0,9,3,2,0,13,1,8,0,3,13,0,13,4,0,0,18,24
1868,0,10,14,20,0,23,0,0,4,14,14,0,0,25,17,0,10,14,6,1,0
5996,18,3,0,0,2,6,8,0,14,0,8,5,0,21,11,13,6,0,0,13,18
2588,3,22,0,0,25,22,0,1,4,0,2,4,0,3,9,20,0,18,15,0,15
387,0,14,1,20,15,0,12,0,9,0,4,8,0,15,12,11,16,0,15,0,9
5660,13,0,2,7,21,0,0,5,12,0,3,1,8,15,0,19,6,0,0,8,18
6758,3,0,15,0,3,5,6,6,0,2,0,1,0,28,8,5,0,11,0,18,32
7187,0,17,1,8,0,6,9,9,0,23,0,11,0,23,22,0,14,11,5,2,0
993,18,9,0,0,1,9,5,0,16,0,22,8,0,6,2,13,0,27,0,1,3
301,14,7,0,1,0,0,28,0,19,0,19,14,2,0,14,10,2,0,0,2,13
7018,23,0,15,5,9,0,12,0,13,0,16,1,10,1,0,13,0,1,0,12,16
3570,6,13,0,0,1,13,0,7,5,0,5,19,0,14,0,15,0,14,0,17,20
4829,0,10,1,0,10,13,21,0,13,0,10,10,0,8,27,14,0,13,2,0,6
5575,0,23,11,1,3,0,5,7,0,23,0,4,0,27,28,0,6,11,1,0,3
6100,10,0,8,12,16,0,14,0,17,0,9,6,16,0,15,25,0,10,2,0,8
