"","Respondents","European","Canadian","Japanese","X6.19","X5.49","X4.79","Rich.full.bodied","Regular","Crisp.and.clear","Strong","Mild","Very.mild","Full","Regular.1","Low","Six.12Oz.Large","Six.12Oz.Small","Four.16Oz","Green.Label","Brown.Label","Brown.Painted","fit1$cluster"
"1",6861,0,8,12,0,16,23,8,0,10,10,6,0,0,21,13,4,0,11,9,0,13,2
"2",4129,1,4,0,8,0,51,8,0,4,6,0,2,2,6,0,0,12,10,13,5,0,2
"3",4393,19,0,15,16,0,3,31,0,20,0,7,13,6,0,8,0,4,8,1,5,0,2
"4",445,0,17,19,0,19,21,0,12,1,0,5,11,0,14,17,0,0,12,0,1,9,1
"5",7393,20,0,4,9,3,0,0,0,11,0,13,6,9,0,23,17,0,8,0,6,3,2
"6",964,17,3,0,6,14,0,0,3,24,11,0,6,6,8,0,0,6,14,0,12,7,1
"7",6773,1,5,0,0,3,4,9,0,24,0,9,2,0,11,35,15,0,15,0,1,8,2
"8",461,18,1,0,2,3,0,7,0,13,0,12,2,26,7,0,19,0,1,0,1,9,1
"9",7156,0,3,14,0,11,26,12,0,13,1,14,0,2,11,0,8,0,10,12,0,10,2
"10",5785,17,5,0,9,3,0,17,0,13,0,14,6,1,0,25,13,0,11,0,5,5,2
"11",4946,21,0,17,0,4,4,4,2,0,0,15,8,31,10,0,15,8,0,4,9,0,2
"12",428,6,0,8,1,0,10,0,3,1,0,21,20,26,3,0,18,1,0,15,2,0,1
"13",4465,8,0,15,5,0,2,10,30,0,2,3,0,9,3,0,0,17,33,0,4,1,2
"14",2478,17,0,0,10,2,0,34,0,8,0,12,6,0,0,12,9,0,4,0,6,4,1
"15",6321,15,6,0,0,3,1,19,0,16,0,10,8,0,6,24,18,1,0,0,11,8,2
"16",4263,13,5,0,12,13,0,0,1,4,0,13,13,2,0,30,22,0,16,0,5,5,2
"17",4305,0,11,19,0,24,17,0,0,5,10,5,0,6,7,0,9,0,15,0,3,19,2
"18",5074,0,0,12,0,14,0,3,0,5,6,3,0,0,27,25,5,0,6,0,21,29,2
"19",3004,14,0,26,18,5,0,10,3,0,0,4,12,0,7,17,12,0,3,5,4,0,1
"20",702,13,0,16,13,16,0,2,0,5,8,17,0,4,3,0,32,0,8,0,4,10,1
"21",6778,17,0,24,5,0,10,12,0,11,0,8,8,4,0,21,20,0,14,4,1,0,2
"22",5542,20,0,16,0,9,5,12,0,3,0,19,3,30,2,0,9,0,7,2,0,1,2
"23",7247,20,12,0,15,10,0,3,0,5,0,33,8,4,10,0,11,3,0,4,0,6,2
"24",6024,24,0,8,12,10,0,0,10,6,16,13,0,8,0,10,19,0,18,0,5,8,2
"25",6172,14,0,10,2,8,0,0,3,17,0,6,1,1,0,24,16,0,13,0,12,14,2
"26",2590,0,13,11,0,9,19,2,0,11,7,17,0,0,12,7,14,0,17,9,0,11,1
"27",6293,17,0,20,11,11,0,15,0,10,0,19,18,0,13,5,9,0,8,7,0,14,2
"28",4485,12,18,0,0,10,16,14,0,3,0,19,31,3,6,0,1,0,4,6,0,11,2
"29",5520,24,1,0,5,2,0,32,0,19,0,16,11,12,0,3,2,0,2,0,2,9,2
"30",5837,20,0,19,0,9,3,2,0,13,1,8,0,3,13,0,13,4,0,0,18,24,2
"31",1868,0,10,14,20,0,23,0,0,4,14,14,0,0,25,17,0,10,14,6,1,0,1
"32",5996,18,3,0,0,2,6,8,0,14,0,8,5,0,21,11,13,6,0,0,13,18,2
"33",2588,3,22,0,0,25,22,0,1,4,0,2,4,0,3,9,20,0,18,15,0,15,1
"34",387,0,14,1,20,15,0,12,0,9,0,4,8,0,15,12,11,16,0,15,0,9,1
"35",5660,13,0,2,7,21,0,0,5,12,0,3,1,8,15,0,19,6,0,0,8,18,2
"36",6758,3,0,15,0,3,5,6,6,0,2,0,1,0,28,8,5,0,11,0,18,32,2
"37",7187,0,17,1,8,0,6,9,9,0,23,0,11,0,23,22,0,14,11,5,2,0,2
"38",993,18,9,0,0,1,9,5,0,16,0,22,8,0,6,2,13,0,27,0,1,3,1
"39",301,14,7,0,1,0,0,28,0,19,0,19,14,2,0,14,10,2,0,0,2,13,1
"40",7018,23,0,15,5,9,0,12,0,13,0,16,1,10,1,0,13,0,1,0,12,16,2
"41",3570,6,13,0,0,1,13,0,7,5,0,5,19,0,14,0,15,0,14,0,17,20,1
"42",4829,0,10,1,0,10,13,21,0,13,0,10,10,0,8,27,14,0,13,2,0,6,2
"43",5575,0,23,11,1,3,0,5,7,0,23,0,4,0,27,28,0,6,11,1,0,3,2
"44",6100,10,0,8,12,16,0,14,0,17,0,9,6,16,0,15,25,0,10,2,0,8,2
"45",3950,21,0,1,6,0,2,27,0,3,0,16,5,5,0,5,18,0,15,0,2,7,2
"46",1241,22,0,20,8,9,0,0,2,3,12,9,0,1,7,0,23,6,0,0,4,24,1
"47",1729,0,24,8,0,33,26,1,4,0,11,0,12,0,3,1,11,0,9,9,0,12,1
"48",4377,16,0,16,0,4,10,14,0,8,0,23,10,22,1,0,13,0,5,2,0,1,2
"49",4448,3,21,0,0,1,5,4,8,0,16,0,22,18,0,6,5,23,0,1,0,3,2
"50",7049,35,0,29,5,13,0,11,0,9,12,5,0,4,0,1,9,0,5,0,12,17,2
"51",4970,13,0,3,0,6,3,13,0,9,0,9,5,0,24,20,17,0,0,0,12,17,2
"52",7201,6,0,2,16,0,25,13,5,0,13,0,4,0,0,11,14,0,6,0,19,11,2
"53",5555,9,0,24,2,0,1,0,10,10,27,6,0,12,0,18,9,0,8,11,7,0,2
"54",6021,14,0,6,16,2,0,8,0,13,0,27,7,10,0,3,14,0,10,5,0,5,2
"55",3528,26,0,10,0,0,0,0,10,11,0,6,4,0,20,13,17,1,0,0,19,20,1
"56",1129,0,5,13,0,3,9,0,14,10,2,0,0,0,1,19,30,0,4,0,13,3,1
"57",6502,0,15,8,0,15,14,10,0,16,3,20,0,5,3,0,11,0,14,13,0,14,2
"58",2911,0,21,6,0,27,21,0,7,7,7,0,8,0,6,4,14,0,13,11,0,16,1
"59",2899,9,0,11,6,3,0,21,0,8,0,9,5,33,0,22,15,0,11,5,2,0,1
"60",6421,20,14,0,0,13,14,18,0,7,0,7,4,0,11,12,0,16,8,0,13,10,2
"61",616,15,0,6,3,14,0,0,3,20,0,14,4,0,17,15,7,3,0,0,8,13,1
"62",141,12,0,5,6,11,0,1,10,0,13,26,0,2,7,0,0,4,17,0,15,18,1
"63",464,9,0,10,0,7,1,20,0,9,0,17,2,30,4,0,4,0,7,0,3,9,1
"64",1173,16,1,0,0,3,12,1,0,13,6,9,0,0,23,10,14,3,0,0,7,14,1
"65",525,25,0,32,9,4,0,9,0,7,4,7,0,8,0,5,18,4,0,18,7,0,1
"66",5646,0,24,0,0,6,8,2,3,0,4,0,10,0,21,14,0,4,5,0,20,28,2
"67",166,1,0,1,0,5,4,41,0,8,13,18,0,16,0,5,8,1,0,0,10,5,1
"68",382,11,0,12,0,2,4,38,1,0,7,0,4,0,5,9,17,0,12,0,8,13,1
"69",4953,4,0,8,5,3,0,11,0,18,10,23,0,13,2,0,6,0,12,21,0,11,2
"70",5789,17,0,5,11,4,0,6,0,3,0,15,7,28,0,10,10,0,1,0,14,8,2
"71",3655,0,17,10,0,31,25,0,0,7,12,0,11,0,5,6,15,0,9,7,0,14,1
"72",1574,2,0,12,0,3,9,0,8,11,11,14,0,0,17,1,10,0,19,0,1,17,1
"73",3642,16,0,10,0,5,2,17,0,4,0,7,3,0,25,23,14,0,8,0,10,16,1
"74",6450,16,1,0,1,0,10,11,0,11,1,6,0,0,26,10,17,11,0,0,13,15,2
"75",3774,15,0,16,0,7,14,4,0,9,0,23,7,22,4,0,13,0,6,3,0,2,1
"76",3711,1,29,0,0,7,1,1,3,0,13,0,4,0,22,30,0,7,13,6,0,5,1
"77",5691,0,17,4,0,14,7,0,3,12,0,7,4,0,10,15,10,0,19,1,0,16,2
"78",3602,17,0,7,9,0,4,11,0,17,0,19,8,10,0,15,17,0,0,1,5,0,1
